# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1311.17  12549.32  5.704  5.711    0.738    0.846       -7.71 -0.01493 -0.00734
     1312.52  12521.04  5.947  5.716    0.721    0.843       -5.51 -0.01209 -0.01392
     1311.27  12381.30  5.990  5.753    0.710    0.866      -11.51 -0.01248 -0.01507
     1306.82  12033.18  5.847  5.796    0.723    0.890      -11.59 -0.01525 -0.01123
     1304.25  11753.16  5.628  5.819    0.901    0.763       82.70 -0.01846 -0.00532
     1303.62  11596.33  5.600  5.714    0.771    0.895    -2339.84 -0.01627 -0.00454
     1305.16  11217.79  5.446  5.649    0.806    0.925      161.45 -0.01656 -0.00036
     1303.46  10557.23  4.982  5.713    0.821    0.957      867.49 -0.02373  0.01214
     1298.07  10658.52  4.720  5.836    0.829    0.926      -28.70 -0.02990  0.01919
     1308.51  11743.44  4.828  5.911    0.780    0.879      -10.92 -0.03039  0.01625
     1313.28  12387.34  5.081  5.836    0.746    0.867       -2.71 -0.02551  0.00945
     1315.01  12506.81  5.190  5.715    0.750    0.869        2.97 -0.02127  0.00652
     1308.12  12028.85  5.381  5.597    0.772    0.879       -0.06 -0.01609  0.00139
     1306.66  11969.90  5.556  5.573    0.893    0.764     -459.66 -0.01339 -0.00333
     1303.00  11880.77  5.511  5.612    0.770    0.889      880.29 -0.01487 -0.00211
     1311.34  12353.90  5.320  5.650    0.867    0.765     -106.30 -0.01812  0.00304
     1311.42  12417.80  5.382  5.660    0.776    0.853     -185.08 -0.01761  0.00135
     1309.00  12087.56  5.686  5.657    0.852    0.758       86.81 -0.01385 -0.00685
     1308.14  12353.79  5.833  5.679    0.850    0.728      443.94 -0.01260 -0.01081
     1312.04  12535.16  5.786  5.694    0.852    0.725      257.72 -0.01352 -0.00957
     1301.72  11882.13  5.570  5.713    0.876    0.769      245.88 -0.01661 -0.00374
